"concept_code","c_name"
"S05.92XA","S05.92XA Unspecified Injury Of Left Eye And Orbit, Initial Encounter"
"S06.0X9S","S06.0X9S Concussion With Loss Of Consciousness Of Unspecified Duration, Sequela"
"S06.1X7A","S06.1X7A Traumatic Cerebral Edema With Loss Of Consciousness Of Any Duration With Death Due To Brain Injury Prior To Regaining Consciousness, Initial Encounter"
"S06.890S","S06.890S Other Intracranial Injury Without Loss Of Consciousness, Sequela"
"S09.90XS","S09.90XS Unspecified Injury Of Head, Sequela"
"S12.001A","S12.001A Unspecified Nondisplaced Fracture Of First Cervical Vertebra, Initial Encounter For Closed Fracture"
"S12.300A","S12.300A Unspecified Displaced Fracture Of Fourth Cervical Vertebra, Initial Encounter For Closed Fracture"
"S12.390A","S12.390A Other Displaced Fracture Of Fourth Cervical Vertebra, Initial Encounter For Closed Fracture"
"S12.591D","S12.591D Other Nondisplaced Fracture Of Sixth Cervical Vertebra, Subsequent Encounter For Fracture With Routine Healing"
"S12.691A","S12.691A Other Nondisplaced Fracture Of Seventh Cervical Vertebra, Initial Encounter For Closed Fracture"
"S14.155A","S14.155A Other Incomplete Lesion At C5 Level Of Cervical Spinal Cord, Initial Encounter"
"S14.155D","S14.155D Other Incomplete Lesion At C5 Level Of Cervical Spinal Cord, Subsequent Encounter"
"S15.391A","S15.391A Other Injury Of Right Internal Jugular Vein, Initial Encounter"
"S16.1XXD","S16.1XXD Strain Of Muscle, Fascia And Tendon At Neck Level, Subsequent Encounter"
"S20.20XA","S20.20XA Contusion Of Thorax, Unspecified, Initial Encounter"
"S20.222A","S20.222A Contusion Of Left Back Wall Of Thorax, Initial Encounter"
"S21.139A","S21.139A Puncture Wound Without Foreign Body Of Unspecified Front Wall Of Thorax Without Penetration Into Thoracic Cavity, Initial Encounter"
"S22.002A","S22.002A Unstable Burst Fracture Of Unspecified Thoracic Vertebra, Initial Encounter For Closed Fracture"
"S22.029A","S22.029A Unspecified Fracture Of Second Thoracic Vertebra, Initial Encounter For Closed Fracture"
"S22.040S","S22.040S Wedge Compression Fracture Of Fourth Thoracic Vertebra, Sequela"
"S22.059A","S22.059A Unspecified Fracture Of T5-T6 Vertebra, Initial Encounter For Closed Fracture"
"S22.079A","S22.079A Unspecified Fracture Of T9-T10 Vertebra, Initial Encounter For Closed Fracture"
"S22.080D","S22.080D Wedge Compression Fracture Of T11-T12 Vertebra, Subsequent Encounter For Fracture With Routine Healing"
"S22.31XG","S22.31XG Fracture Of Rib, Right Side, Subsequent Encounter For Fracture With Delayed Healing"
"S22.32XA","S22.32XA Fracture Of Rib, Left Side, Initial Encounter For Closed Fracture"
"S22.32XB","S22.32XB Fracture Of Rib, Left Side, Initial Encounter For Open Fracture"
"S22.42XA","S22.42XA Multiple Fractures Of Ribs, Left Side, Initial Encounter For Closed Fracture"
"S22.43XA","S22.43XA Multiple Fractures Of Ribs, Bilateral, Initial Encounter For Closed Fracture"
"S23.9XXA","S23.9XXA Sprain Of Unspecified Parts Of Thorax, Initial Encounter"
"S31.000S","S31.000S Unspecified Open Wound Of Lower Back And Pelvis Without Penetration Into Retroperitoneum, Sequela"
"S31.139A","S31.139A Puncture Wound Of Abdominal Wall Without Foreign Body, Unspecified Quadrant Without Penetration Into Peritoneal Cavity, Initial Encounter"
"S31.604A","S31.604A Unspecified Open Wound Of Abdominal Wall, Left Lower Quadrant With Penetration Into Peritoneal Cavity, Initial Encounter"
"S31.809D","S31.809D Unspecified Open Wound Of Unspecified Buttock, Subsequent Encounter"
"S32.011A","S32.011A Stable Burst Fracture Of First Lumbar Vertebra, Initial Encounter For Closed Fracture"
"S32.020D","S32.020D Wedge Compression Fracture Of Second Lumbar Vertebra, Subsequent Encounter For Fracture With Routine Healing"
"S32.021A","S32.021A Stable Burst Fracture Of Second Lumbar Vertebra, Initial Encounter For Closed Fracture"
"S32.029D","S32.029D Unspecified Fracture Of Second Lumbar Vertebra, Subsequent Encounter For Fracture With Routine Healing"
"S32.030G","S32.030G Wedge Compression Fracture Of Third Lumbar Vertebra, Subsequent Encounter For Fracture With Delayed Healing"
"S32.030K","S32.030K Wedge Compression Fracture Of Third Lumbar Vertebra, Subsequent Encounter For Fracture With Nonunion"
"S32.030S","S32.030S Wedge Compression Fracture Of Third Lumbar Vertebra, Sequela"
"S32.039G","S32.039G Unspecified Fracture Of Third Lumbar Vertebra, Subsequent Encounter For Fracture With Delayed Healing"
"S32.391B","S32.391B Other Fracture Of Ilium, Right Side, Initial Encounter For Open Fracture"
"S32.461A","S32.461A Displaced Associated Transverse-Posterior Fracture Of Acetabulum, Right Side, Initial Encounter For Closed Fracture"
"S32.471A","S32.471A Displaced Fracture Of Medial Wall Of Acetabulum, Right Side, Initial Encounter For Closed Fracture"
"S32.509S","S32.509S Unspecified Fracture Of Unspecified Pubis, Sequela"
"S32.592A","S32.592A Other Specified Fracture Of Left Pubis, Initial Encounter For Closed Fracture"
"S32.599D","S32.599D Other Specified Fracture Of Unspecified Pubis, Subsequent Encounter For Fracture With Routine Healing"
"S32.82XA","S32.82XA Multiple Fractures Of Pelvis Without Disruption Of Pelvic Ring, Initial Encounter For Closed Fracture"
"S32.9XXD","S32.9XXD Fracture Of Unspecified Parts Of Lumbosacral Spine And Pelvis, Subsequent Encounter For Fracture With Routine Healing"
"S32.9XXS","S32.9XXS Fracture Of Unspecified Parts Of Lumbosacral Spine And Pelvis, Sequela"
"S01.302A","S01.302A Unspecified Open Wound Of Left Ear, Initial Encounter"
"S01.312A","S01.312A Laceration Without Foreign Body Of Left Ear, Initial Encounter"
"S01.312D","S01.312D Laceration Without Foreign Body Of Left Ear, Subsequent Encounter"
"S01.401A","S01.401A Unspecified Open Wound Of Right Cheek And Temporomandibular Area, Initial Encounter"
"S01.411A","S01.411A Laceration Without Foreign Body Of Right Cheek And Temporomandibular Area, Initial Encounter"
"S01.81XD","S01.81XD Laceration Without Foreign Body Of Other Part Of Head, Subsequent Encounter"
"S01.85XA","S01.85XA Open Bite Of Other Part Of Head, Initial Encounter"
"S01.91XA","S01.91XA Laceration Without Foreign Body Of Unspecified Part Of Head, Initial Encounter"
"S02.109A","S02.109A Fracture Of Base Of Skull, Unspecified Side, Initial Encounter For Closed Fracture"
"S02.2XXA","S02.2XXA Fracture Of Nasal Bones, Initial Encounter For Closed Fracture"
"S05.11XA","S05.11XA Contusion Of Eyeball And Orbital Tissues, Right Eye, Initial Encounter"
"S05.22XD","S05.22XD Ocular Laceration And Rupture With Prolapse Or Loss Of Intraocular Tissue, Left Eye, Subsequent Encounter"
"S05.91XA","S05.91XA Unspecified Injury Of Right Eye And Orbit, Initial Encounter"
"S06.0X9A","S06.0X9A Concussion With Loss Of Consciousness Of Unspecified Duration, Initial Encounter"
"S06.300A","S06.300A Unspecified Focal Traumatic Brain Injury Without Loss Of Consciousness, Initial Encounter"
"S06.309A","S06.309A Unspecified Focal Traumatic Brain Injury With Loss Of Consciousness Of Unspecified Duration, Initial Encounter"
"S06.5X0D","S06.5X0D Traumatic Subdural Hemorrhage Without Loss Of Consciousness, Subsequent Encounter"
"S06.9X0S","S06.9X0S Unspecified Intracranial Injury Without Loss Of Consciousness, Sequela"
"S06.9X5D","S06.9X5D Unspecified Intracranial Injury With Loss Of Consciousness Greater Than 24 Hours With Return To Pre-Existing Conscious Level, Subsequent Encounter"
"S09.0XXA","S09.0XXA Injury Of Blood Vessels Of Head, Not Elsewhere Classified, Initial Encounter"
"S09.93XS","S09.93XS Unspecified Injury Of Face, Sequela"
"S11.011A","S11.011A Laceration Without Foreign Body Of Larynx, Initial Encounter"
"S11.91XA","S11.91XA Laceration Without Foreign Body Of Unspecified Part Of Neck, Initial Encounter"
"S12.100A","S12.100A Unspecified Displaced Fracture Of Second Cervical Vertebra, Initial Encounter For Closed Fracture"
"S12.191D","S12.191D Other Nondisplaced Fracture Of Second Cervical Vertebra, Subsequent Encounter For Fracture With Routine Healing"
"S12.301A","S12.301A Unspecified Nondisplaced Fracture Of Fourth Cervical Vertebra, Initial Encounter For Closed Fracture"
"S12.431A","S12.431A Unspecified Traumatic Nondisplaced Spondylolisthesis Of Fifth Cervical Vertebra, Initial Encounter For Closed Fracture"
"S12.491A","S12.491A Other Nondisplaced Fracture Of Fifth Cervical Vertebra, Initial Encounter For Closed Fracture"
"S12.500A","S12.500A Unspecified Displaced Fracture Of Sixth Cervical Vertebra, Initial Encounter For Closed Fracture"
"S12.590A","S12.590A Other Displaced Fracture Of Sixth Cervical Vertebra, Initial Encounter For Closed Fracture"
"S12.690D","S12.690D Other Displaced Fracture Of Seventh Cervical Vertebra, Subsequent Encounter For Fracture With Routine Healing"
"S12.9XXD","S12.9XXD Fracture Of Neck, Unspecified, Subsequent Encounter"
"S13.141A","S13.141A Dislocation Of C3/C4 Cervical Vertebrae, Initial Encounter"
"S14.103S","S14.103S Unspecified Injury At C3 Level Of Cervical Spinal Cord, Sequela"
"S14.109A","S14.109A Unspecified Injury At Unspecified Level Of Cervical Spinal Cord, Initial Encounter"
"S15.291A","S15.291A Other Injury Of Right External Jugular Vein, Initial Encounter"
"S19.9XXA","S19.9XXA Unspecified Injury Of Neck, Initial Encounter"
"S20.01XA","S20.01XA Contusion Of Right Breast, Initial Encounter"
"S21.001A","S21.001A Unspecified Open Wound Of Right Breast, Initial Encounter"
"S21.002A","S21.002A Unspecified Open Wound Of Left Breast, Initial Encounter"
"S21.219A","S21.219A Laceration Without Foreign Body Of Unspecified Back Wall Of Thorax Without Penetration Into Thoracic Cavity, Initial Encounter"
"S21.239A","S21.239A Puncture Wound Without Foreign Body Of Unspecified Back Wall Of Thorax Without Penetration Into Thoracic Cavity, Initial Encounter"
"S22.000S","S22.000S Wedge Compression Fracture Of Unspecified Thoracic Vertebra, Sequela"
"S22.39XS","S22.39XS Fracture Of Rib, Unspecified Side, Sequela"
"S22.42XD","S22.42XD Multiple Fractures Of Ribs, Left Side, Subsequent Encounter For Fracture With Routine Healing"
"S22.49XA","S22.49XA Multiple Fractures Of Ribs, Unspecified Side, Initial Encounter For Closed Fracture"
"S27.0XXA","S27.0XXA Traumatic Pneumothorax, Initial Encounter"
"S29.011A","S29.011A Strain Of Muscle And Tendon Of Front Wall Of Thorax, Initial Encounter"
"S30.0XXD","S30.0XXD Contusion Of Lower Back And Pelvis, Subsequent Encounter"
"S30.1XXS","S30.1XXS Contusion Of Abdominal Wall, Sequela"
"S30.810D","S30.810D Abrasion Of Lower Back And Pelvis, Subsequent Encounter"
"S31.104A","S31.104A Unspecified Open Wound Of Abdominal Wall, Left Lower Quadrant Without Penetration Into Peritoneal Cavity, Initial Encounter"
"S31.109D","S31.109D Unspecified Open Wound Of Abdominal Wall, Unspecified Quadrant Without Penetration Into Peritoneal Cavity, Subsequent Encounter"
"S31.630A","S31.630A Puncture Wound Without Foreign Body Of Abdominal Wall, Right Upper Quadrant With Penetration Into Peritoneal Cavity, Initial Encounter"
"R94.6","R94.6 Abnormal Results Of Thyroid Function Studies"
"R97.0","R97.0 Elevated Carcinoembryonic Antigen [Cea]"
"R99","R99 Ill-Defined And Unknown Cause Of Mortality"
"S00.03XA","S00.03XA Contusion Of Scalp, Initial Encounter"
"S00.03XD","S00.03XD Contusion Of Scalp, Subsequent Encounter"
"S00.212A","S00.212A Abrasion Of Left Eyelid And Periocular Area, Initial Encounter"
"S00.83XA","S00.83XA Contusion Of Other Part Of Head, Initial Encounter"
"S01.02XA","S01.02XA Laceration With Foreign Body Of Scalp, Initial Encounter"
"S01.111D","S01.111D Laceration Without Foreign Body Of Right Eyelid And Periocular Area, Subsequent Encounter"
"S02.0XXA","S02.0XXA Fracture Of Vault Of Skull, Initial Encounter For Closed Fracture"
"S02.2XXB","S02.2XXB Fracture Of Nasal Bones, Initial Encounter For Open Fracture"
"S02.30XA","S02.30XA Fracture Of Orbital Floor, Unspecified Side, Initial Encounter For Closed Fracture"
"S02.31XA","S02.31XA Fracture Of Orbital Floor, Right Side, Initial Encounter For Closed Fracture"
"S02.40CD","S02.40CD Maxillary Fracture, Right Side, Subsequent Encounter For Fracture With Routine Healing"
"S02.40DA","S02.40DA Maxillary Fracture, Left Side, Initial Encounter For Closed Fracture"
"S02.609A","S02.609A Fracture Of Mandible, Unspecified, Initial Encounter For Closed Fracture"
"S02.622A","S02.622A Fracture Of Subcondylar Process Of Left Mandible, Initial Encounter For Closed Fracture"
"S02.651A","S02.651A Fracture Of Angle Of Right Mandible, Initial Encounter For Closed Fracture"
"S02.66XA","S02.66XA Fracture Of Symphysis Of Mandible, Initial Encounter For Closed Fracture"
"S02.92XS","S02.92XS Unspecified Fracture Of Facial Bones, Sequela"
"S04.891A","S04.891A Injury Of Other Cranial Nerves, Right Side, Initial Encounter"
"S05.01XA","S05.01XA Injury Of Conjunctiva And Corneal Abrasion Without Foreign Body, Right Eye, Initial Encounter"
"S05.22XA","S05.22XA Ocular Laceration And Rupture With Prolapse Or Loss Of Intraocular Tissue, Left Eye, Initial Encounter"
"S05.32XA","S05.32XA Ocular Laceration Without Prolapse Or Loss Of Intraocular Tissue, Left Eye, Initial Encounter"
"S06.361A","S06.361A Traumatic Hemorrhage Of Cerebrum, Unspecified, With Loss Of Consciousness Of 30 Minutes Or Less, Initial Encounter"
"S06.5X0A","S06.5X0A Traumatic Subdural Hemorrhage Without Loss Of Consciousness, Initial Encounter"
"S06.5X1A","S06.5X1A Traumatic Subdural Hemorrhage With Loss Of Consciousness Of 30 Minutes Or Less, Initial Encounter"
"S06.9X9A","S06.9X9A Unspecified Intracranial Injury With Loss Of Consciousness Of Unspecified Duration, Initial Encounter"
"S10.14XA","S10.14XA External Constriction Of Part Of Throat, Initial Encounter"
"S12.041A","S12.041A Nondisplaced Lateral Mass Fracture Of First Cervical Vertebra, Initial Encounter For Closed Fracture"
"S12.101A","S12.101A Unspecified Nondisplaced Fracture Of Second Cervical Vertebra, Initial Encounter For Closed Fracture"
"S12.490A","S12.490A Other Displaced Fracture Of Fifth Cervical Vertebra, Initial Encounter For Closed Fracture"
"S12.500D","S12.500D Unspecified Displaced Fracture Of Sixth Cervical Vertebra, Subsequent Encounter For Fracture With Routine Healing"
"S13.110A","S13.110A Subluxation Of C0/C1 Cervical Vertebrae, Initial Encounter"
"S14.109S","S14.109S Unspecified Injury At Unspecified Level Of Cervical Spinal Cord, Sequela"
"S14.119A","S14.119A Complete Lesion At Unspecified Level Of Cervical Spinal Cord, Initial Encounter"
"S15.091A","S15.091A Other Injury Of Right Carotid Artery, Initial Encounter"
"S15.192A","S15.192A Other Injury Of Left Vertebral Artery, Initial Encounter"
"S20.221A","S20.221A Contusion Of Right Back Wall Of Thorax, Initial Encounter"
"S21.102A","S21.102A Unspecified Open Wound Of Left Front Wall Of Thorax Without Penetration Into Thoracic Cavity, Initial Encounter"
"S21.102D","S21.102D Unspecified Open Wound Of Left Front Wall Of Thorax Without Penetration Into Thoracic Cavity, Subsequent Encounter"
"S21.209D","S21.209D Unspecified Open Wound Of Unspecified Back Wall Of Thorax Without Penetration Into Thoracic Cavity, Subsequent Encounter"
"S22.010A","S22.010A Wedge Compression Fracture Of First Thoracic Vertebra, Initial Encounter For Closed Fracture"
"S22.048A","S22.048A Other Fracture Of Fourth Thoracic Vertebra, Initial Encounter For Closed Fracture"
"S22.060A","S22.060A Wedge Compression Fracture Of T7-T8 Vertebra, Initial Encounter For Closed Fracture"
"S22.060D","S22.060D Wedge Compression Fracture Of T7-T8 Vertebra, Subsequent Encounter For Fracture With Routine Healing"
"S22.070G","S22.070G Wedge Compression Fracture Of T9-T10 Vertebra, Subsequent Encounter For Fracture With Delayed Healing"
"S22.080A","S22.080A Wedge Compression Fracture Of T11-T12 Vertebra, Initial Encounter For Closed Fracture"
"S22.41XA","S22.41XA Multiple Fractures Of Ribs, Right Side, Initial Encounter For Closed Fracture"
"S24.109A","S24.109A Unspecified Injury At Unspecified Level Of Thoracic Spinal Cord, Initial Encounter"
"S25.501A","S25.501A Unspecified Injury Of Intercostal Blood Vessels, Right Side, Initial Encounter"
"S26.90XD","S26.90XD Unspecified Injury Of Heart, Unspecified With Or Without Hemopericardium, Subsequent Encounter"
"S27.2XXA","S27.2XXA Traumatic Hemopneumothorax, Initial Encounter"
"S27.301A","S27.301A Unspecified Injury Of Lung, Unilateral, Initial Encounter"
"S27.321A","S27.321A Contusion Of Lung, Unilateral, Initial Encounter"
"S27.69XA","S27.69XA Other Injury Of Pleura, Initial Encounter"
"S02.650A","S02.650A Fracture Of Angle Of Mandible, Unspecified Side, Initial Encounter For Closed Fracture"
"S02.81XA","S02.81XA Fracture Of Alveolus, Maxilla, Initial Encounter For Closed Fracture"
"S02.85XA","S02.85XA Fracture Of Orbit, Unspecified, Initial Encounter For Closed Fracture"
"S02.91XB","S02.91XB Unspecified Fracture Of Skull, Initial Encounter For Open Fracture"
"S04.42XA","S04.42XA Injury Of Abducent Nerve, Left Side, Initial Encounter"
"S04.899A","S04.899A Injury Of Other Cranial Nerves, Unspecified Side, Initial Encounter"
"S05.31XA","S05.31XA Ocular Laceration Without Prolapse Or Loss Of Intraocular Tissue, Right Eye, Initial Encounter"
"S06.1X9A","S06.1X9A Traumatic Cerebral Edema With Loss Of Consciousness Of Unspecified Duration, Initial Encounter"
"S06.2X0A","S06.2X0A Diffuse Traumatic Brain Injury Without Loss Of Consciousness, Initial Encounter"
"S06.369A","S06.369A Traumatic Hemorrhage Of Cerebrum, Unspecified, With Loss Of Consciousness Of Unspecified Duration, Initial Encounter"
"S06.370A","S06.370A Contusion, Laceration, And Hemorrhage Of Cerebellum Without Loss Of Consciousness, Initial Encounter"
"S06.5X9D","S06.5X9D Traumatic Subdural Hemorrhage With Loss Of Consciousness Of Unspecified Duration, Subsequent Encounter"
"S06.6X0A","S06.6X0A Traumatic Subarachnoid Hemorrhage Without Loss Of Consciousness, Initial Encounter"
"S06.6X1A","S06.6X1A Traumatic Subarachnoid Hemorrhage With Loss Of Consciousness Of 30 Minutes Or Less, Initial Encounter"
"S06.9X0A","S06.9X0A Unspecified Intracranial Injury Without Loss Of Consciousness, Initial Encounter"
"S09.90XD","S09.90XD Unspecified Injury Of Head, Subsequent Encounter"
"S10.90XA","S10.90XA Unspecified Superficial Injury Of Unspecified Part Of Neck, Initial Encounter"
"S11.11XA","S11.11XA Laceration Without Foreign Body Of Thyroid Gland, Initial Encounter"
"S11.21XA","S11.21XA Laceration Without Foreign Body Of Pharynx And Cervical Esophagus, Initial Encounter"
"S11.91XD","S11.91XD Laceration Without Foreign Body Of Unspecified Part Of Neck, Subsequent Encounter"
"S11.91XS","S11.91XS Laceration Without Foreign Body Of Unspecified Part Of Neck, Sequela"
"S12.091D","S12.091D Other Nondisplaced Fracture Of First Cervical Vertebra, Subsequent Encounter For Fracture With Routine Healing"
"S12.110A","S12.110A Anterior Displaced Type II Dens Fracture, Initial Encounter For Closed Fracture"
"S12.120D","S12.120D Other Displaced Dens Fracture, Subsequent Encounter For Fracture With Routine Healing"
"S12.601D","S12.601D Unspecified Nondisplaced Fracture Of Seventh Cervical Vertebra, Subsequent Encounter For Fracture With Routine Healing"
"S12.8XXA","S12.8XXA Fracture Of Other Parts Of Neck, Initial Encounter"
"S13.131A","S13.131A Dislocation Of C2/C3 Cervical Vertebrae, Initial Encounter"
"S14.101D","S14.101D Unspecified Injury At C1 Level Of Cervical Spinal Cord, Subsequent Encounter"
"S14.101S","S14.101S Unspecified Injury At C1 Level Of Cervical Spinal Cord, Sequela"
"S14.105A","S14.105A Unspecified Injury At C5 Level Of Cervical Spinal Cord, Initial Encounter"
"S14.105S","S14.105S Unspecified Injury At C5 Level Of Cervical Spinal Cord, Sequela"
"S20.419A","S20.419A Abrasion Of Unspecified Back Wall Of Thorax, Initial Encounter"
"S21.109A","S21.109A Unspecified Open Wound Of Unspecified Front Wall Of Thorax Without Penetration Into Thoracic Cavity, Initial Encounter"
"S21.109D","S21.109D Unspecified Open Wound Of Unspecified Front Wall Of Thorax Without Penetration Into Thoracic Cavity, Subsequent Encounter"
"S21.119A","S21.119A Laceration Without Foreign Body Of Unspecified Front Wall Of Thorax Without Penetration Into Thoracic Cavity, Initial Encounter"
"S22.000A","S22.000A Wedge Compression Fracture Of Unspecified Thoracic Vertebra, Initial Encounter For Closed Fracture"
"S22.000D","S22.000D Wedge Compression Fracture Of Unspecified Thoracic Vertebra, Subsequent Encounter For Fracture With Routine Healing"
"S22.021A","S22.021A Stable Burst Fracture Of Second Thoracic Vertebra, Initial Encounter For Closed Fracture"
"S22.050A","S22.050A Wedge Compression Fracture Of T5-T6 Vertebra, Initial Encounter For Closed Fracture"
"S22.080G","S22.080G Wedge Compression Fracture Of T11-T12 Vertebra, Subsequent Encounter For Fracture With Delayed Healing"
"S22.089A","S22.089A Unspecified Fracture Of T11-T12 Vertebra, Initial Encounter For Closed Fracture"
"S22.089D","S22.089D Unspecified Fracture Of T11-T12 Vertebra, Subsequent Encounter For Fracture With Routine Healing"
"S22.41XD","S22.41XD Multiple Fractures Of Ribs, Right Side, Subsequent Encounter For Fracture With Routine Healing"
"S22.41XG","S22.41XG Multiple Fractures Of Ribs, Right Side, Subsequent Encounter For Fracture With Delayed Healing"
"S22.5XXA","S22.5XXA Flail Chest, Initial Encounter For Closed Fracture"
"S24.103S","S24.103S Unspecified Injury At T7-T10 Level Of Thoracic Spinal Cord, Sequela"
"S27.322A","S27.322A Contusion Of Lung, Bilateral, Initial Encounter"
"S30.860D","S30.860D Insect Bite (Nonvenomous) Of Lower Back And Pelvis, Subsequent Encounter"
"S31.000A","S31.000A Unspecified Open Wound Of Lower Back And Pelvis Without Penetration Into Retroperitoneum, Initial Encounter"
"S31.119A","S31.119A Laceration Without Foreign Body Of Abdominal Wall, Unspecified Quadrant Without Penetration Into Peritoneal Cavity, Initial Encounter"
"S32.001S","S32.001S Stable Burst Fracture Of Unspecified Lumbar Vertebra, Sequela"
"S32.009A","S32.009A Unspecified Fracture Of Unspecified Lumbar Vertebra, Initial Encounter For Closed Fracture"
"R40.2433","R40.2433 Glasgow Coma Scale Score 3-8, At Hospital Admission"
"R40.2434","R40.2434 Glasgow Coma Scale Score 3-8, 24 Hours Or More After Hospital Admission"
"R40.2444","R40.2444 Other Coma, Without Documented Glasgow Coma Scale Score, Or With Partial Score Reported, 24 Hours Or More After Hospital Admission"
"R41.82","R41.82 Altered Mental Status, Unspecified"
"R43.2","R43.2 Parageusia"
"R45.850","R45.850 Homicidal Ideations"
"R48.0","R48.0 Dyslexia And Alexia"
"R49.0","R49.0 Dysphonia"
"R50.9","R50.9 Fever, Unspecified"
"R51.9","R51.9 Headache, Unspecified"
"R53.82","R53.82 Chronic Fatigue, Unspecified"
"R57.9","R57.9 Shock, Unspecified"
"R60.1","R60.1 Generalized Edema"
"R62.52","R62.52 Short Stature (Child)"
"R68.13","R68.13 Apparent Life Threatening Event In Infant [Alte]"
"R68.2","R68.2 Dry Mouth, Unspecified"
"R68.84","R68.84 Jaw Pain"
"R73.09","R73.09 Other Abnormal Glucose"
"R74.01","R74.01 Elevation Of Levels Of Liver Transaminase Levels"
"R77.8","R77.8 Other Specified Abnormalities Of Plasma Proteins"
"R78.4","R78.4 Finding Of Other Drugs Of Addictive Potential In Blood"
"R79.81","R79.81 Abnormal Blood-Gas Level"
"R80.1","R80.1 Persistent Proteinuria, Unspecified"
"R82.81","R82.81 Pyuria"
"R84.6","R84.6 Abnormal Cytological Findings In Specimens From Respiratory Organs And Thorax"
"R87.621","R87.621 Atypical Squamous Cells Cannot Exclude High Grade Squamous Intraepithelial Lesion On Cytologic Smear Of Vagina (Asc-H)"
"R87.810","R87.810 Cervical High Risk Human Papillomavirus (Hpv) Dna Test Positive"
"R91.1","R91.1 Solitary Pulmonary Nodule"
"R92.0","R92.0 Mammographic Microcalcification Found On Diagnostic Imaging Of Breast"
"R92.2","R92.2 Inconclusive Mammogram"
"R92.8","R92.8 Other Abnormal And Inconclusive Findings On Diagnostic Imaging Of Breast"
"R93.2","R93.2 Abnormal Findings On Diagnostic Imaging Of Liver And Biliary Tract"
"R94.01","R94.01 Abnormal Electroencephalogram [Eeg]"
"S00.31XA","S00.31XA Abrasion Of Nose, Initial Encounter"
"S00.33XA","S00.33XA Contusion Of Nose, Initial Encounter"
"S00.432A","S00.432A Contusion Of Left Ear, Initial Encounter"
"S00.531A","S00.531A Contusion Of Lip, Initial Encounter"
"S01.01XA","S01.01XA Laceration Without Foreign Body Of Scalp, Initial Encounter"
"S01.301A","S01.301A Unspecified Open Wound Of Right Ear, Initial Encounter"
"S01.412A","S01.412A Laceration Without Foreign Body Of Left Cheek And Temporomandibular Area, Initial Encounter"
"S01.512A","S01.512A Laceration Without Foreign Body Of Oral Cavity, Initial Encounter"
"S01.80XD","S01.80XD Unspecified Open Wound Of Other Part Of Head, Subsequent Encounter"
"S02.0XXB","S02.0XXB Fracture Of Vault Of Skull, Initial Encounter For Open Fracture"
"S02.2XXD","S02.2XXD Fracture Of Nasal Bones, Subsequent Encounter For Fracture With Routine Healing"
"S02.40CA","S02.40CA Maxillary Fracture, Right Side, Initial Encounter For Closed Fracture"
"S02.5XXA","S02.5XXA Fracture Of Tooth (Traumatic), Initial Encounter For Closed Fracture"
"S02.601B","S02.601B Fracture Of Unspecified Part Of Body Of Right Mandible, Initial Encounter For Open Fracture"
"S02.609D","S02.609D Fracture Of Mandible, Unspecified, Subsequent Encounter For Fracture With Routine Healing"
"S06.0X0S","S06.0X0S Concussion Without Loss Of Consciousness, Sequela"
"S06.310A","S06.310A Contusion And Laceration Of Right Cerebrum Without Loss Of Consciousness, Initial Encounter"
"S06.339A","S06.339A Contusion And Laceration Of Cerebrum, Unspecified, With Loss Of Consciousness Of Unspecified Duration, Initial Encounter"
"S06.4X0A","S06.4X0A Epidural Hemorrhage Without Loss Of Consciousness, Initial Encounter"
"S06.6X9A","S06.6X9A Traumatic Subarachnoid Hemorrhage With Loss Of Consciousness Of Unspecified Duration, Initial Encounter"
"S06.9X0D","S06.9X0D Unspecified Intracranial Injury Without Loss Of Consciousness, Subsequent Encounter"
"S09.92XA","S09.92XA Unspecified Injury Of Nose, Initial Encounter"
"S09.93XA","S09.93XA Unspecified Injury Of Face, Initial Encounter"
"S10.94XA","S10.94XA External Constriction Of Unspecified Part Of Neck, Initial Encounter"
"S11.029A","S11.029A Unspecified Open Wound Of Trachea, Initial Encounter"
"S11.22XA","S11.22XA Laceration With Foreign Body Of Pharynx And Cervical Esophagus, Initial Encounter"
"S12.041D","S12.041D Nondisplaced Lateral Mass Fracture Of First Cervical Vertebra, Subsequent Encounter For Fracture With Routine Healing"
"S12.090A","S12.090A Other Displaced Fracture Of First Cervical Vertebra, Initial Encounter For Closed Fracture"
"S12.291A","S12.291A Other Nondisplaced Fracture Of Third Cervical Vertebra, Initial Encounter For Closed Fracture"
"S12.400S","S12.400S Unspecified Displaced Fracture Of Fifth Cervical Vertebra, Sequela"
"S12.401A","S12.401A Unspecified Nondisplaced Fracture Of Fifth Cervical Vertebra, Initial Encounter For Closed Fracture"
"S12.501A","S12.501A Unspecified Nondisplaced Fracture Of Sixth Cervical Vertebra, Initial Encounter For Closed Fracture"
"S12.600A","S12.600A Unspecified Displaced Fracture Of Seventh Cervical Vertebra, Initial Encounter For Closed Fracture"
"S14.103A","S14.103A Unspecified Injury At C3 Level Of Cervical Spinal Cord, Initial Encounter"
"S14.153A","S14.153A Other Incomplete Lesion At C3 Level Of Cervical Spinal Cord, Initial Encounter"
"S15.101A","S15.101A Unspecified Injury Of Right Vertebral Artery, Initial Encounter"
"S12.9XXA","S12.9XXA Fracture Of Neck, Unspecified, Initial Encounter"
"S12.9XXS","S12.9XXS Fracture Of Neck, Unspecified, Sequela"
"S13.4XXA","S13.4XXA Sprain Of Ligaments Of Cervical Spine, Initial Encounter"
